"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04"
"Young Lilly","Springfield","MO","Springfield","Greene",1497,117000,114900,114900,118000,119000,117200,118950,114700,114900,113900,113900,112900,113700,112450,109900,109900,111900,109900,109900,109900,109900,109900,109900,109900,109900,107700,109900,109900,111450,109900,108800,107700,105950,104900,104900,104000,100950,107400,108900,105000,105000,109900,117950,119900,119700,114900,114900,114900,112700,112900,114900,114900,114900,114900,114900,114900,114900,115000,114900,115700,109950,108950,119900,121450,120000,119950,119950,124900,124900,125500,119900,119900,119900,117900,119900,119950,120000,119900,120000,119900,119900,121900,123900,124900,124950,124900,124650,123700
"Jordan Heights-Old Fairgrounds","Allentown","PA","Allentown","Lehigh",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63900,63900,59900,60000,59900,59670,59000,59000,59000,58944,59000,59000,59900,55900,54900,51900,53000,54900,54900,59900,60900,60000,62400,64950,64900,69000,68450,68450
"South Historic District","Savannah","GA","Savannah","Chatham",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e+05,550000,537450,519000,569000,569000,572000,530000,550000,569000,569000,569000,615000,615000,648500,597000
"Wilshire Estates-Savannah Mall","Savannah","GA","Savannah","Chatham",1497,114500,117900,117900,115000,115000,113950,112200,110000,110000,110000,110000,109950,109000,107500,103900,109000,105000,108000,109000,105000,108350,107700,98250,98000,102000,104500,89950,89900,89900,89900,89900,89900,89900,94750,95000,99897,97448.5,99898.5,102500,99950,99950,109900,107450,109900,109900,104900,96698.5,96698.5,95398.5,97900,95198.5,95897,103900,101900,99900,109900,100448.5,105000,96398.5,90000,95448.5,96733,102400,109900,95897,97950,99000,108450,111400,109900,109900,114900,109900,109900,110000,106900,115900,118000,115000,118000,114950,113900,114900,112000,115000,115250,119900,122400
"Adams Boulevard","Saginaw","MI","Saginaw","Saginaw",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,49900,52500,57400,57900,56900,49900,54900,55900,54900,52900,54900,57400,54900,49900,49900,50000,54000,54450,54900,53900,49900,49200,48500,49900,51500,50450,52900,53900,54900,53700,54900,54900,53000,54900,53000,49900,53000
"Old Everett","Lansing","MI","Lansing","Ingham",1497,69700,69900,67950,68900,69900,69900,65000,65000,68000,59850,55000,50000,49900,50000,49900,50000,49950,54900,53900,54800,52900,49900,48000,41250,39950,39900,45900,46900,49900,49900,45450,49900,49500,49900,49500,49650,48900,49900,53400,49900,57900,54900,59900,59900,59900,59900,59900,59900,57450,54900,59000,59900,64900,66000,64450,66450,65000,64850,63500,62900,61000,59900,62950,64950,64900,63250,64000,62250,64900,67450,68450,67000,64950,59900,58450,59900,63900,64350,64900,62000,64950,68950,69900,67950,69900,69900,68900,69900
"Westside","Lansing","MI","Lansing","Ingham",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94900,88450,88000,84900,88950,94900,91200,89900,89900,89450,98400,99900
"Colonial Village","Lansing","MI","Lansing","Ingham",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,77194,86051.5,88894,86045.5,84900,84900,89900,96450,94900,89950,83700,81750,84900,93000
"Wilshire-Montana","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262000,1249000,1144500,1134000,1100000,1275000,1356500,1397000,1361000,1298888,1235000,1199000
"Snow Woods","Dearborn","MI","Detroit","Wayne",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119900,119900,124900,124850,119900,118450,119250,123529,118000,119000,122500,124900,123950
"Northern Meadows","Rio Rancho","NM","Albuquerque","Sandoval",1497,169900,169900,164900,168250,164700,169000,167500,169450,163200,156900,155300,160000,155000,155000,155000,151492.5,145435,139998,140000,147000,152995,150000,149900,149700,153250,151990,153900,150612.5,149250,139500,145000,149900,147250,149900,150000,149900,147550,145000,149900,144950,152450,154000,153500,157000,159925,154950,151900,149888,146900,146900,159900,159700,158950,154000,147200,153950,155000,150000,150000,149900,149000,149700,149250,147950,150000,157700,152811.5,154811.5,150950,150950,154900,150000,151900,165000,154900,150000,154900,159945,164984.5,159945,159900,160000,158300,159900,154950,155000,158950,154900
"East Central","Ogden","UT","Ogden","Weber",1497,94900,104900,104900,99900,96030,93000,89900,89900,95515,99000,89900,80000,79975,87000,81750,79950,72900,74900,74950,77000,74999,74900,74400,69000,66900,68699.5,70000,75000,69375,72500,75000,79000,85000,89900,95000,95450,93700,94500,95000,95000,93900,92500,99700,99900,105000,109900,104900,107500,105000,104000,105950,1e+05,105000,105250,105350,108375,109871,103700,109000,108875,111000,110000,110500,109900,119900,124950,119500,119950,120500,120500,123250,118750,119000,119900,123450,129900,124900,127900,129999,134900,137000,144000,144000,139900,134900,134900,139900,139900
"East Bench","Ogden","UT","Ogden","Weber",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192000,195000,173250,174900,181950,179000,192450,215000,205000,215000,219900,220000,222500,207500,196500
